Sensor_ID, Timestamp, CO2_ppm, Temp_C, Humidity_%
IAQ-001, 2026-02-11 19:35:22, 534, 31.0, 76
IAQ-001, 2026-02-11 19:40:22, 616, 27.7, 44
IAQ-001, 2026-02-11 19:45:22, 1118, 28.4, 84
IAQ-001, 2026-02-11 19:50:22, 1176, 27.2, 83
IAQ-001, 2026-02-11 19:55:22, 888, 27.4, 79
IAQ-001, 2026-02-11 20:00:22, 729, 28.0, 52
IAQ-001, 2026-02-11 20:05:22, 1189, 31.6, 81
IAQ-001, 2026-02-11 20:10:22, 508, 28.6, 89
IAQ-001, 2026-02-11 20:15:22, 668, 29.6, 46
IAQ-001, 2026-02-11 20:20:22, 1148, 26.9, 56
IAQ-001, 2026-02-11 20:25:22, 639, 25.9, 67
IAQ-001, 2026-02-11 20:30:22, 879, 27.1, 76
IAQ-001, 2026-02-11 20:35:22, 664, 30.7, 55
IAQ-001, 2026-02-11 20:40:22, 402, 30.8, 51
IAQ-001, 2026-02-11 20:45:22, 438, 27.7, 66
IAQ-001, 2026-02-11 20:50:22, 619, 30.6, 49
IAQ-001, 2026-02-11 20:55:22, 882, 31.9, 82
IAQ-001, 2026-02-11 21:00:22, 475, 29.5, 89
IAQ-001, 2026-02-11 21:05:22, 859, 28.5, 67
IAQ-001, 2026-02-11 21:10:22, 932, 31.5, 73
IAQ-001, 2026-02-11 21:15:22, 570, 25.7, 56
IAQ-001, 2026-02-11 21:20:22, 679, 31.7, 88
IAQ-001, 2026-02-11 21:25:22, 473, 28.3, 82
IAQ-001, 2026-02-11 21:30:22, 972, 30.7, 73
IAQ-001, 2026-02-11 21:35:22, 1093, 30.9, 45
IAQ-001, 2026-02-11 21:40:22, 494, 30.0, 80
IAQ-001, 2026-02-11 21:45:22, 899, 27.3, 73
IAQ-001, 2026-02-11 21:50:22, 595, 31.2, 83
IAQ-001, 2026-02-11 21:55:22, 1127, 26.4, 45
IAQ-001, 2026-02-11 22:00:22, 714, 26.1, 82
IAQ-001, 2026-02-11 22:05:22, 627, 31.6, 81
IAQ-001, 2026-02-11 22:10:22, 597, 31.5, 63
IAQ-001, 2026-02-11 22:15:22, 379, 28.3, 58
IAQ-001, 2026-02-11 22:20:22, 939, 29.5, 79
IAQ-001, 2026-02-11 22:25:22, 422, 27.5, 50
IAQ-001, 2026-02-11 22:30:22, 506, 25.3, 89
IAQ-001, 2026-02-11 22:35:22, 819, 31.6, 74
IAQ-001, 2026-02-11 22:40:22, 724, 27.6, 43
IAQ-001, 2026-02-11 22:45:22, 1034, 25.5, 49
IAQ-001, 2026-02-11 22:50:22, 815, 31.8, 64
IAQ-001, 2026-02-11 22:55:22, 363, 28.6, 81
IAQ-001, 2026-02-11 23:00:22, 393, 28.4, 73
IAQ-001, 2026-02-11 23:05:22, 787, 27.4, 69
IAQ-001, 2026-02-11 23:10:22, 807, 29.5, 75
IAQ-001, 2026-02-11 23:15:22, 1138, 25.2, 79
IAQ-001, 2026-02-11 23:20:22, 903, 27.0, 66
IAQ-001, 2026-02-11 23:25:22, 1173, 28.6, 79
IAQ-001, 2026-02-11 23:30:22, 406, 27.0, 70
IAQ-001, 2026-02-11 23:35:22, 407, 27.1, 89
IAQ-001, 2026-02-11 23:40:22, 699, 26.2, 62
IAQ-001, 2026-02-11 23:45:22, 933, 28.1, 66
IAQ-001, 2026-02-11 23:50:22, 936, 25.9, 86
IAQ-001, 2026-02-11 23:55:22, 999, 29.8, 61
IAQ-001, 2026-02-12 00:00:22, 1180, 25.8, 49
IAQ-001, 2026-02-12 00:05:22, 796, 31.0, 85
IAQ-001, 2026-02-12 00:10:22, 1179, 31.3, 59
IAQ-001, 2026-02-12 00:15:22, 924, 25.9, 52
IAQ-001, 2026-02-12 00:20:22, 1001, 29.1, 77
IAQ-001, 2026-02-12 00:25:22, 683, 27.0, 46
IAQ-001, 2026-02-12 00:30:22, 423, 25.0, 76
IAQ-001, 2026-02-12 00:35:22, 700, 29.4, 42
IAQ-001, 2026-02-12 00:40:22, 713, 28.9, 77
IAQ-001, 2026-02-12 00:45:22, 994, 31.8, 46
IAQ-001, 2026-02-12 00:50:22, 523, 31.8, 84
IAQ-001, 2026-02-12 00:55:22, 512, 25.7, 65
IAQ-001, 2026-02-12 01:00:22, 479, 27.1, 83
IAQ-001, 2026-02-12 01:05:22, 458, 26.7, 63
IAQ-001, 2026-02-12 01:10:22, 1027, 31.1, 82
IAQ-001, 2026-02-12 01:15:22, 553, 27.5, 87
IAQ-001, 2026-02-12 01:20:22, 792, 29.0, 88
IAQ-001, 2026-02-12 01:25:22, 944, 30.0, 54
IAQ-001, 2026-02-12 01:30:22, 738, 28.8, 60
IAQ-001, 2026-02-12 01:35:22, 908, 31.2, 45
IAQ-001, 2026-02-12 01:40:22, 686, 25.4, 48
IAQ-001, 2026-02-12 01:45:22, 598, 25.6, 62
IAQ-001, 2026-02-12 01:50:22, 749, 25.1, 84
IAQ-001, 2026-02-12 01:55:22, 660, 28.1, 53
IAQ-001, 2026-02-12 02:00:22, 1152, 29.8, 81
IAQ-001, 2026-02-12 02:05:22, 797, 31.4, 89
IAQ-001, 2026-02-12 02:10:22, 601, 28.4, 83
IAQ-001, 2026-02-12 02:15:22, 829, 30.4, 85
IAQ-001, 2026-02-12 02:20:22, 945, 31.5, 54
IAQ-001, 2026-02-12 02:25:22, 1040, 25.1, 76
IAQ-001, 2026-02-12 02:30:22, 671, 25.7, 53
IAQ-001, 2026-02-12 02:35:22, 687, 29.9, 70
IAQ-001, 2026-02-12 02:40:22, 557, 30.7, 66
IAQ-001, 2026-02-12 02:45:22, 693, 31.1, 87
IAQ-001, 2026-02-12 02:50:22, 956, 29.4, 90
IAQ-001, 2026-02-12 02:55:22, 844, 26.8, 59
IAQ-001, 2026-02-12 03:00:22, 996, 31.5, 60
IAQ-001, 2026-02-12 03:05:22, 479, 28.7, 77
IAQ-001, 2026-02-12 03:10:22, 654, 31.9, 80
IAQ-001, 2026-02-12 03:15:22, 510, 26.4, 48
IAQ-001, 2026-02-12 03:20:22, 455, 30.2, 79
IAQ-001, 2026-02-12 03:25:22, 1156, 28.9, 40
IAQ-001, 2026-02-12 03:30:22, 594, 25.2, 64
IAQ-001, 2026-02-12 03:35:22, 760, 27.2, 51
IAQ-001, 2026-02-12 03:40:22, 810, 31.5, 68
IAQ-001, 2026-02-12 03:45:22, 899, 25.2, 83
IAQ-001, 2026-02-12 03:50:22, 398, 26.4, 43
